Tablo 1
Firma;Konum;Pozisyon;çalışma şekli;Tarih
Gizli Firma;İstanbul;Insurance Product Manager / Jr. Manager;İş Yerinde;2023
HAVANSOFT BİLİŞİM TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Ürün Yöneticisi (Platform Düzenleyicisi);Hibrit;2022
Kaleseramik Çanakkale Kalebodur Seramik Sanayi .A.Ş.;İstanbul;Mobilya Ürün Yöneticisi;İş Yerinde;2022
MBT Teknik Yapı Kimyasalları San. ve Tic. A.Ş.;İstanbul;Ürün Yöneticisi;İş Yerinde;2024
ATAK TAŞIT YEDEKLERİSANAYİ VE TİCARET A.Ş.;İstanbul;Ürün Yöneticisi–Junıor Product Manager;İş Yerinde;2023
Rays Giyim;İstanbul;Ürün Yöneticisi / Yönetmeni;Hibrit;2024
KALEKİM KİMYEVİ MADDELER SAN. VE TİC. A.Ş.;İstanbul;Ürün Yöneticisi-Yapı Kimyasalları;Uzaktan / Remote;2024
TETRAPORT TEKNOLOJİ ANONİM ŞİRKETİ;İstanbul ;ERP Danışmanı;İş Yerinde;2023
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Kıdemli Test Uzmanı;İş Yerinde;2021
Turpak Elektromanyetik Yakıt İkmal Sis.Tic.A.Ş.;İstanbul;ERP Danışmanı – SAP B1;Hibrit;2023
IFS TÜRKİYE;Tekirdağ ;ERP Danışmanı;İş Yerinde;2022
SİSTEM ALÜMİNYUM SANAYİ VE TİC.A.Ş.;Tekirdağ ;Kıdemli SAP PP Danışmanı;İş Yerinde;2021
SİSTEM ALÜMİNYUM SANAYİ VE TİC.A.Ş.;İstanbul;Kıdemli SAP MM / EWM Danışmanı;İş Yerinde;2024
Kariyer.net;İstanbul;Veritabanı Yöneticisi;İş Yerinde;2021
ERA Consulting Services;İstanbul;ERP Consultants;Hibrit;2024
Ainos Bilgi Teknolojileri ve Danışmanlık A.Ş.;İstanbul ;ERP Danışmanı;İş Yerinde;2024
ENTERERP YAZILIM TİCARET LİMİTED ŞİRKETİ;İzmir;ERP Danışmanı;İş Yerinde;2023
Industrial Application Software;İstanbul;ERP Danışmanı;Uzaktan / Remote;2022
Gizli Firma;Ankara;Canias Danışmanı;İş Yerinde;2024
Türkiye Yeşilay Cemiyeti;Bursa;International Projects and Programs Specialist;İş Yerinde;2022
ERSA Mobilya San. ve Tic. A.Ş.;İstanbul;Proje ve Sunum Uzmanı;Uzaktan / Remote;2024
KÜÇÜKOĞLU HOLDİNG ANONİM ŞİRKETİ;İstanbul;Proje Uzmanı;İş Yerinde;2022
Gizli Firma;İstanbul;Project Specialist;İş Yerinde;2023
Acıbadem Mehmet Ali Aydınlar Üniversitesi;Muğla;Araştırma Destek Fonları Uzmanı;İş Yerinde;2021
Honest Travel Group;İstanbul ;Mice Proje Uzmanı;İş Yerinde;2023
Gizli Firma;Ankara;Proje Uzmanı;Hibrit;2021
SECURİTAS TEKNOLOJİ HİZMETLERİ TİCARET ANONİM ŞİRKETİ;Lefkoşa;Proje Uzmanı;İş Yerinde;2021
The National Nanotechnology Research Center (UNAM);Ankara;Proje Finans Uzmanı;Hibrit;2023
TÜRK BANKASI LTD;İstanbul;Proje Yönetimi Bölümü Uzman/Uzman Yardımcısı;Uzaktan / Remote;2024
Yıldızlar SSS Holding A.Ş.;İstanbul;İşletme Projeleri Uzmanı;İş Yerinde;2021
SANTA FARMA İLAÇ SAN.A.Ş.;İstanbul;Yatırımlar ve Proje Uzmanı;Uzaktan / Remote;2022
İstanbul İhracatçı Birlikleri Genel Sekreterliği;Kütahya;Ur-Ge Proje Uzmanı;İş Yerinde;2024
ULUSLARARASI GÖÇ ÖRGÜTÜ;İstanbul;Senior Project Associate (German Speaker)-Re-Adv.;Hibrit;2022
MARTUR SÜNGER VE KOLTUK TESİSLERİ TİCARET VE SANAYİ A.Ş.;İstanbul;Project Specialist;Uzaktan / Remote;2023
TURKISHBANK A.Ş;İstanbul;Proje Uzmanı;İş Yerinde;2023
T. C. Piri Reis Üniversitesi;Kütahya;Proje Uzmanı;Hibrit;2024
Intertek Test Hizmetleri A.Ş.;İzmir;Gıda Satış Destek Sorumlu Yardımcısı;İş Yerinde;2024
Kros Otomotiv San. Tic. A.Ş;İstanbul;Proje İletişim Uzmanı;İş Yerinde;2021
EDE TANITIM VE HALKLA İLİŞKİLER LTD.ŞTİ. (Özel);İstanbul;İş Geliştirme Uzman Yardımcısı;Hibrit;2024
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Proje Destek Uzmanı (Hr);İş Yerinde;2022
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Proje Uzmanı;İş Yerinde;2022
Koç Üniversitesi;İstanbul;Cleanroom Senior Specialist;İş Yerinde;2021
Koç Üniversitesi;İstanbul;Global Education Programs and Projects Assistant;Hibrit;2023
Trio Mobil Bilişim Sistemleri A.Ş.;İstanbul;Türkiye İş Ortakları Kanal Satış Uzman Yardımcısı;İş Yerinde;2024
YENİ KOZA TEKSTİL A.Ş.;İstanbul;İş Geliştirme Uzman Yardımcısı;İş Yerinde;2024
Köksal Proje Danışmanlık Mühendislik A.Ş.;İstanbul;Tübitak / Kosgeb Proje Uzmanı;Hibrit;2024
PERKOTEK TEKNOLOJİ DIŞ TİCARET ANONİM ŞİRKETİ;Ankara;Yazılım Destek Uzmanı;Uzaktan / Remote;2023
İdea Teknoloji Çözümleri Bilgisayar Sanayi Tic.A.Ş.;İstanbul;CRM Yazılım Destek Uzmanı;İş Yerinde;2022
CODEIDENT Bilgi Teknolojileri;Bursa;Yazılım Destek Uzmanı;İş Yerinde;2021
Roche Diagnostics Turkey A.Ş.;Ankara;Laboratuvar Yazılım Çözüm Uzmanı (Engelli Kadro);İş Yerinde;2022
Memorial Sağlık Grubu;İstanbul;Medikal IT Uzmanı;Uzaktan / Remote;2024
Ark He Yazılım Teknolojileri ve Turizm Danışmanlı;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2022
Gizli Firma;Gaziantep;Yazılım Destek Uzmanı / Hbys- Gaziantep;İş Yerinde;2021
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2024
Minerva Yazılım;İstanbul;Sistem Geliştirme Uzmanı;İş Yerinde;2022
DeFacto Perakende Ticaret Anonim Şirketi;İstanbul;Ürün Yönetimi Sistem Geliştirme Uzman Jr;İş Yerinde;2022
Mtclinen tekstil;Denizli;Yazılım Destek Uzmanı;İş Yerinde;2024
Proliz Yazılım;Ankara;Yazılım Destek Uzmanı;İş Yerinde;2024
TEKPROSİS BİLGİSAYAR YAZILIM DANIŞMANLIK VE EĞİTİM HİZMETLERİ İÇ VE DIŞ TİCARET LİMİT;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2023
NTT Data Business Solutions;İstanbul;CX Ams Support Consultant;Hibrit;2022
CLEAN TEMİZLİK VE DANIŞMANLIK HİZMETLERİ A.Ş.;İstanbul;Yazılım Destek Uzmanı;Uzaktan / Remote;2023
EVOSET Bilgisayar Teknolojileri ve Yazılım Hizmetleri LTD. ŞTİ.;İzmir;Yazılım Destek Uzmanı;İş Yerinde;2024
Industrial Application Software;İstanbul;Software Support Specialist;İş Yerinde;2023
Sektöründe Lider Firma;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2022
BİLİN YAZILIM VE BİLİŞİM DANIŞMANLIĞI A.Ş.;İstanbul;Yazılım Destek Uzmanı;Hibrit;2021
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;Ankara;Sistem Geliştirme ve Raporlama Uzmanı;Uzaktan / Remote;2023
Gizli Firma;Ankara;Yazılım Destek Sorumlusu;İş Yerinde;2023
MEYER  GROUP;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2023
Diem Mühendislik Mimarlık A.Ş.;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2023
Aps Giyim;Amasya;İş Geliştirme Uzmanı;İş Yerinde;2024
OTOMOL;İstanbul;İş Geliştirme ve İhracat Uzmanı;Uzaktan / Remote;2022
TEKNOKAR SAVUNMA VE HAVACILIK A.Ş.;Ankara;İş Geliştirme & Bütçe Raporlama Uzmanı;İş Yerinde;2021
ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.;İzmir;İş Geliştirme Uzmanı;Hibrit;2022
E Peak İç ve Dış Tic. Ltd. Şti.;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2022
VELAVİT VİTAMİN PAZARLAMA SAN. VE TİC. A.Ş.;İstanbul;Business Development Specialist;İş Yerinde;2021
SMS INFOCOMM TEKNOLOJİ SERVIS  LTD. ŞTİ.;İstanbul;İş Geliştirme ve Satış Yöneticisi;Uzaktan / Remote;2022
eTA;İstanbul;İş Geliştirme Uzmanı;Hibrit;2024
KAYTEN TEKNOLOJİ ÜRÜNLERİ SAN.VE DIS TİC.LTD STİ;Ankara;Tedarik ve Satın Alma Uzmanı;İş Yerinde;2022
Mene Research A. Ş.;Kocaeli;İş Geliştirme ve Satış Uzmanı;Uzaktan / Remote;2023
BAŞARSOFT BİLGİ TEKNOLOJİLERİ A.Ş.;İstanbul;Süreç ve İş Geliştirme Kıdemli Uzmanı;İş Yerinde;2021
BİRTEP;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2022
AKIN GLOBAL İÇ VE DIŞ TİCARET SANAYİ LTD ŞTİ;Ankara;Kıdemli İş Geliştirme ve Kiralama Uzmanı;İş Yerinde;2024
Adil Işık Group;İstanbul;Business Development Specialist;İş Yerinde;2022
FEMSAN ELEKTRİK MOTORLARI SANAYİ VE TİCARET A.Ş.;İstanbul;Toptan Satış İş Geliştirme Uzmanı;İş Yerinde;2022
FLO Mağazacılık;İstanbul;İş Geliştirme Uzmanı;Hibrit;2023
FLO Mağazacılık;İstanbul;İş Geliştirme Uzmanı;Hibrit;2022
İstanbul Okan Üniversitesi Hastanesi;İstanbul;Romanya Bölgesi İş Geliştirme Uzmanı;Uzaktan / Remote;2022
İstanbul Okan Üniversitesi Hastanesi;İstanbul;Balkan Bölgesi İş Geliştirme Uzmanı;Hibrit;2024
İstanbul Okan Üniversitesi Hastanesi;İstanbul;İş Geliştirme Uzmanı;Hibrit;2022
Gizli Firma;İstanbul;İş Geliştirme Uzmanı/ Uzman Yardımcısı;İş Yerinde;2023
İstanbul Eczacılar Kooperatifi;İstanbul;Çağrı Merkezi İş Geliştirme Kıdemli Uzmanı;İş Yerinde;2021
EUREKO SİGORTA A.Ş;İstanbul;İhracat İş Geliştirme Uzmanı;Hibrit;2022
Silverline;İstanbul;İhale ve İş Geliştirme Uzmanı;Hibrit;2023
Sektöründe Öncü Firma;Ankara;İş Geliştirme Uzmanı;Hibrit;2024
ERK HOLDİNG ANONİM ŞİRKETİ;İzmir;İş Geliştirme ve Onboarding Uzmanı;İş Yerinde;2022
Procat Danışmanlık Yazılım Telekomünikasyon Pazarlama Ticaret A.Ş.;İzmir;Mülk ve Emlak Geliştirme Uzmanı;Hibrit;2023
Sinoma;Ankara;Business Development and Marketing Specialist;Hibrit;2021
BEYÇELİK GESTAMP ŞASİ OTOMOTİV SANAYİ ANONİM ŞİRKETİ;Kocaeli;İş Geliştirme Uzmanı;Uzaktan / Remote;2024
Securitas Güvenlik Hizmetleri A.Ş.;Tekirdağ;Bölge Satış ve İş Geliştirme Uzmanı;İş Yerinde;2022
ODAK TEDARİK ZİNCİRİ VE LOJİSTİK ANONİM ŞİRKETİ;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2023
ALBERT GENAU;Ankara;Ürün ve İş Geliştirme Uzmanı;İş Yerinde;2021
Dore Eğitim Kurumları;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2021
Netlog Lojistik Hizmetleri A.Ş.;İstanbul;İş ve Sistem Geliştirme Uzmanı;İş Yerinde;2021
ALBERT GENAU;Ankara;Ürün ve İş Geliştirme Uzmanı;İş Yerinde;2023
SECURITAS GÜVENLİK HİZMETLERİ ANONİM ŞİRKETİ;İstanbul;Bölge Satış ve İş Geliştirme Uzmanı;Hibrit;2023
PAYCO ELEKTRONİK PARA VE ÖDEME HİZMETLERİ ANONİM ŞİRKETİ;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2021
Hedef Tüketim Ürünleri San. ve Dış Tic. A.Ş;İstanbul;İş Geliştirme Uzman/Uzman Yardımcısı;İş Yerinde;2024
HAUS;Aydın;Business Development Support Specialist;İş Yerinde;2023
Jengal Yazılım;İstanbul;Business Development Specialist;Uzaktan / Remote;2021
VESTEL A.Ş.;İzmir ;Automotive Sales & Business Development Specialist;İş Yerinde;2021
LOGO YAZILIM SAN.VE TİC.A.Ş.;İstanbul;Bankacılık ve Fintech İş Geliştirme Uzmanı -Remote;Uzaktan / Remote;2022
KALDE ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ;Ankara;İş Geliştirme Uzmanı;Hibrit;2024
VETAMERİKAN VETERİNERLİK HİZMETLERİ TİCARET ANONİM ŞİRKETİ;İstanbul;İş Geliştirme Uzmanı;Hibrit;2024
ATHENA BİLİŞİM ÇÖZÜMLERİ ANONİM ŞİRKETİ;İstanbul;Oracle Uygulamaları Danışmanı;Uzaktan / Remote;2022
NTT Data Business Solutions Türkiye;İstanbul;Sr/Expert Data Scientist;Hibrit;2022
NTT Data Business Solutions Türkiye;İstanbul;İş Zekası Danışmanı;Hibrit;2022
Bosch;Bursa;R&D Data Scientist;İş Yerinde;2024
İMTEK İLERİ MALZEMELER VE TEKNOLOJİLER ANONİM ŞİRKETİ;Ankara;ERP Mühendisi;Hibrit;2023
Gizli Firma;Samsun;ERP Mühendisi;İş Yerinde;2022
CVK MADEN İŞLETMELERİ SANAYİ VE TİCARETA.Ş.;İstanbul;ERP Mühendisi;İş Yerinde;2024
Sektöründe Öncü Firma;Ankara;Veri Bilimci;İş Yerinde;2022
HUMAN KAPİTAL İNSAN KAYN.VE DAN.HİZ.SAN.TİC.LTD.ŞTİ;İstanbul;Arge Proses Yöneticisi (Enjeksiyon);İş Yerinde;2023
Assan Bilişim;İstanbul;Veri Bilimci;İş Yerinde;2023
Özak Global Holding;İstanbul;Analitik CRM Uzmanı;Hibrit;2022
Datateam Bilgi Teknolojileri Ltd. Şti.;Ankara;SQL Yazılım Uzmanı;İş Yerinde;2022
Asis;Ankara;SQL Developer;İş Yerinde;2022
Astor Enerji A.Ş.;İstanbul;Ms-Sql Veri Tabanı ve Yazılım Uzmanı;Hibrit;2023
TURBOARD (E-Kalite);Kocaeli;Veritabanı Uzmanı;Uzaktan / Remote;2021
TÜRBOSAN TÜRBO MAKİNALAR SANAYİ VE TİCARET A.Ş.;İstanbul;SAP Uzmanı;İş Yerinde;2024
Saya Grup İç ve Dış Ticaret;İstanbul;SAP SD Uzmanı;İş Yerinde;2024
Still Arser İş Makinaları Servis ve Tic. A.Ş.;İstanbul;SAP Uzmanı (Finansal);Hibrit;2021
AYTEMİZ AKARYAKIT DAĞITIM ANONİM ŞİRKETİ;İstanbul;SAP Uzmanı;İş Yerinde;2023
Mutlu Akü;İzmir;SAP Specialist;Uzaktan / Remote;2023
VOLT TEKNOLOJİ GELİŞTİRME VE MÜHENDİSLİK A.Ş.;İstanbul;SAP Uzmanı;Hibrit;2022
EagleBurgmann Turkey;İstanbul;SAP Fıco Specialist;Hibrit;2023
Silverline;İstanbul;SAP Fı-Co Uzmanı;Hibrit;2021
Korozo Ambalaj San. ve Tic. A.Ş.;İstanbul;SAP Modül Uzmanı;İş Yerinde;2024
EMAA SİGORTA A.Ş.;Ankara;Sistem Analisti Uzmanı;İş Yerinde;2022
Gizli Firma;Sakarya;SAP Uzmanı;Uzaktan / Remote;2021
Sektöründe Öncü Firma;İstanbul;SAP Uzmanı;İş Yerinde;2021
Doğanlar Mobilya Grubu imalat San.ve Tic. A.Ş;Kocaeli;SAP Finansal Modüller Uzmanı;Uzaktan / Remote;2021
Toyota Tsusho Turkey;Tekirdağ;SAP Support Specialist;İş Yerinde;2023
Penti;İstanbul;SAP Modül Analisti;Uzaktan / Remote;2024
Penti;İstanbul;Kıdemli SAP Geliştirme Uzmanı;İş Yerinde;2022
WeHire;Ankara;DevOps Uzmanı;Hibrit;2021
Dünya Varlık Yönetim A.Ş.;İstanbul;Yazılım Mimarı/Devops;İş Yerinde;2021
Uluğ Enerji Dağıtım ve Perakende Satış Hizmetleri;Ankara;DevOps Uzmanı;Hibrit;2021
Borçelik;Bursa;Proje Yönetim Ofisi Uzmanı;Hibrit;2021
Gulf Sigorta A.Ş.;İstanbul;Nakliyat Sigortaları Underwriting Uzmanı;İş Yerinde;2022
RHG ENERTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ;İstanbul;Proje Yönetim Ofisi Uzmanı;Uzaktan / Remote;2022
ABB Elektrik Sanayi A.Ş.;Kocaeli;Project Manager (Mv Switchgear);Hibrit;2024
TÜRKİYE KATILIM SİGORTA ANONİM ŞİRKETİ;İstanbul;Veri Tabanı Uzmanı;İş Yerinde;2024
G Teknoloji Bilişim San. ve Tic. A.Ş.;Kocaeli;GTech Veri Tabanı Akademisi;İş Yerinde;2023
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Kıdemli Veri Tabanı Uzmanı;Hibrit;2022
Sompo Sigorta A.Ş.;İzmir;Veri Tabanı Yöneticisi;Uzaktan / Remote;2022
Nesine.com;İstanbul;Kıdemli Veri Tabanı Uzmanı Postgresql;Hibrit;2021
Gizli Firma;İstanbul;İş Geliştirme Yetkilisi;İş Yerinde;2021
Gizli Firma;İstanbul;İş Geliştirme Yetkilisi;İş Yerinde;2022
TÜRKİYE İHRACAT KREDİ BANKASI A.Ş.;İstanbul;Veri Tabanı Deneyimli Uzmanı;İş Yerinde;2021
Palmet Şirketler Grubu;Ankara;Veri Tabanı Uzmanı;İş Yerinde;2023
Mikrogrup;İstanbul;Veri Tabanı Uzmanı;İş Yerinde;2023
Sektöründe Öncü Firma;İstanbul;Veri Tabanı Uzmanı;Hibrit;2024
Ges Lojistik;İstanbul;Business Development Manager;İş Yerinde;2024
RND;İstanbul;Proje Uzman Yardımcısı;Hibrit;2022
Minerva Yazılım;İstanbul;Proje Uzman Yardımcısı;Hibrit;2021
Turkon Holding;İstanbul;Projeler Uzman Yardımcısı;İş Yerinde;2021
Atasay Kuyumculuk;İstanbul;Ürün Yönetimi Uzman Yardımcısı / Altın Markalar;İş Yerinde;2023
COŞKUN HAZIR GİYİM A.Ş;İstanbul;Alokasyon / Ürün Dağıtım Uzman Yardımcısı;Uzaktan / Remote;2023
Koç Üniversitesi;İstanbul;Cleanroom Assistant Specialist;Hibrit;2024
Gizli Firma;İstanbul;IT Operations Senior Specialist;Hibrit;2021
Aras Kargo;Bursa;Kıdemli İş Zekası Uzmanı;İş Yerinde;2023
İstanbul Sabiha Gökçen Uluslararası Havalimanı;İstanbul;IT Operasyon Destek Uzmanı;İş Yerinde;2021
Bosch;Kocaeli;IT Product/Service Expert Consultant;İş Yerinde;2022
Bosch;Tekirdağ;IT Solution Consultant;Hibrit;2023
TRELLEBORG;İstanbul;IT Operations;İş Yerinde;2022
World Medicine İlaç San.Ve Tic. A.Ş.;Ankara;Çerkezköy - Bilgi Teknolojileri Uzman Yardımcısı;Hibrit;2022
MNT Sağlık Hizmetleri Tic. A.Ş;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2021
Muzaffer Polat San. Tic. A.Ş.;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;Hibrit;2024
AYTEMİZ KESİNTİSİZ GÜÇ KAYNAKLARI ANONİM ŞİRKETİ;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2021
AYTEMİZ AKARYAKIT DAĞITIM ANONİM ŞİRKETİ;Kayseri;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2024
Zülfikarlar Holding A.Ş;Kayseri;Bilgi Teknolojileri Uzman Yardımcısı;Hibrit;2023
BELLONA MOBİLYA SAN. VE TİC. A.Ş.;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2021
Sersim Dayanıklı Tüketim Mal San ve Tic İbrahim Ustaoğlu Mehmet Ustaoğlu Kol Şir;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2023
Optik Medikal Ticaret A.Ş.;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2023
Sompo Sigorta A.Ş.;İstanbul;Yardımcı Süreç Analizi Yöneticisi;Uzaktan / Remote;2022
Acme Holding;İstanbul;ERP Destek Sorumlusu;İş Yerinde;2024
Taha Giyim San. Ve Tic. A.Ş.;Ankara;SAP MM Modül Uzmanı;Hibrit;2022
Taha Giyim San. Ve Tic. A.Ş.;İstanbul;SAP MM Modül Uzmanı;İş Yerinde;2024
TÜRKERLER İNŞAAT TURİZM MADEN.ENERJİÜR.TİC.VE SAN.AŞ;İstanbul;Lisans İşleri Uzmanı;İş Yerinde;2024
Sampaş A.Ş.;İstanbul;GIS Yazılım Geliştirme Uzmanı;İş Yerinde;2023
TM MARKETING DANIŞMANLIK LİMİTED ŞİRKETİ;İstanbul;CRM Specialist;Hibrit;2021
TatilBudur.Com;Ankara;CRM Uzmanı;İş Yerinde;2023
İstanbul Bilgi Üniversitesi;İstanbul;CRM Uzmanı;Uzaktan / Remote;2021
MOTOR OTOMOTİV YATÇILIK VE TURİZM İŞLT.TİC.LTD.ŞTİ;İstanbul;CRM Uzmanı;İş Yerinde;2021
DeFacto Perakende Ticaret Anonim Şirketi;İstanbul;Customer Analytics Specialist;İş Yerinde;2022
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;CRM Uzmanı;İş Yerinde;2022
Papillon Hotels - Simtan Tur. Tic. ve San. A.Ş.;Antalya;CRM Uzmanı;İş Yerinde;2023
CLUB JOLLY TURİZM VE TİCARET A.Ş;İstanbul;CRM Uzmanı;Hibrit;2024
Ramsey-Kip;İstanbul;CRM Uzmanı;İş Yerinde;2024
ANTOTO OTOMOTİV OTO KİRALAMA TAŞIMACILIK PETROL İNŞAAT VE TURİZM SANAYİ TİCARET A.Ş.;Antalya;CRM Uzmanı;Hibrit;2023
SETUR SERVİS TURİSTİK ANONİM ŞİRKETİ;İstanbul;CRM Kampanya ve İletişim Kıdemli Uzmanı;İş Yerinde;2023
Randstad Türkiye;İstanbul;CRM Uzmanı;İş Yerinde;2024
Alliance Healthcare Türkiye;İstanbul;Bilgi Sistemleri Uzman Yardımcısı;İş Yerinde;2022
Egemsoft;İstanbul;Test Otomasyon Uzmanı;Hibrit;2023
QUATRE SİGORTA VE REASÜRANS BROKERLİĞİ ANONİM ŞİRKETİ;İstanbul;Kıdemli Teknik Uzman;İş Yerinde;2023
ENOCA BİLGİ TEKNOLOJİLERİ VE DANIŞMANLIKLTD.ŞTİ.;İstanbul;Test Otomasyon Mühendisi;İş Yerinde;2024
HALK FAKTORİNG ANONİM ŞİRKETİ;İstanbul;Pazarlama Yetkili Asistanı;Hibrit;2021
MAYDENİM TEKS.SAN.VE DIŞ TİC.A.Ş.;Ordu;Raporlama Uzman Yardımcısı;Hibrit;2021
Altis Tıbbi Araştırma Org.  Ltd. Şti.;İstanbul;İnsan Kaynakları Raporlama Uzman Yardımcısı;İş Yerinde;2021
VEFA İLAÇ SAN VE TİC. A.Ş.;İstanbul;SAP Danışmanı;Hibrit;2022
BİLİM İLAÇ SANAYİİ VE TİCARET A.Ş.;İstanbul;SAP Danışmanı;Hibrit;2024
NTT Data Business Solutions Türkiye;İstanbul;SAP E-Çözümler Danışmanı;İş Yerinde;2022
Spro Teknoloji A.Ş.;İstanbul;SAP Modül(Mm,Sd,Pp,Pm,Wm,Ewm,Qm)Danışmanı;İş Yerinde;2024
MSC Gemi Acenteliği A.Ş.;İstanbul;Raporlama Uzman Yardımcısı;İş Yerinde;2021
Fuzul Grup - Fuzul Gayrimenkul. Yat. A.Ş.;İstanbul;Bütçe Raporlama Uzman Yardımcısı;Hibrit;2024
GDZ Elektrik Dağıtım Aş.;İzmir;Raporlama Uzman Yardımcısı;İş Yerinde;2024
YILPORT Holding;İstanbul;Reporting Assistant Specialist;İş Yerinde;2023
Gizli Firma;Ankara;Raporlama Uzman Yardımcısı;İş Yerinde;2023
Assan Bilişim;İstanbul;SAP Finansal Süreçler Danışmanı;Hibrit;2022
NTT DATA BUSINESS SOLUTIONS;İstanbul;SAP Sf-Hcm Consultant;Hibrit;2024
Eren Enerji Elektrik Üretim A.Ş.;İstanbul;SAP Finansal Modüller Uzmanı;İş Yerinde;2021
Arvato Lojistik Anonim Şirketi;Kocaeli;Operational Excellence Specialist;İş Yerinde;2021
DALGAKIRAN MAK. SAN. A.Ş.;Kocaeli;Operasyonel Verimlilik Uzmanı;Hibrit;2024
İzocam Ticaret ve Sanayi A.Ş.;Gaziantep;Operasyonel Mükemmellik Uzmanı;Hibrit;2021
KÖKSAN PET VE PLASTİK AMBALAJ SAN.VE TİC.A.Ş.;Ankara;OPEX Uzmanı;İş Yerinde;2021
ABC OKULLARI;İstanbul;Matematik Öğretmeni;Uzaktan / Remote;2022
ERSA İTHALAT VE TİCARET ANONİM ŞİRKETİ;İstanbul;İş Analisti;İş Yerinde;2021
Gizli Firma;İstanbul;Business Analyst;Hibrit;2023
Turkcell Global Bilgi;İstanbul;Deneyimli Kanal Deneyimi ve Kontrol Uzmanı;İş Yerinde;2023
TÜRKİYE KATILIM SİGORTA ANONİM ŞİRKETİ;İstanbul;İş Analisti;İş Yerinde;2021
Katılımevim Tasarruf Finansman A.Ş;İstanbul;İş Analisti;Hibrit;2021
Türkiye Yeşilay Cemiyeti;İstanbul;İş Analisti;İş Yerinde;2023
Madame Coco;İstanbul;İş Analisti;İş Yerinde;2023
Motor Aşin Otomotiv;İstanbul;İş Analisti;İş Yerinde;2024
Koton;İstanbul;İş Analisti ve Proje Yönetimi Uzmanı;İş Yerinde;2021
Koton;İstanbul;BT İş Analisti (Lojistik);İş Yerinde;2021
Koton;İstanbul;BT İş Analisti (Planlama);Hibrit;2022
TATİLBUDUR SEYAHAT ACENTELİĞİ VE TURİZM ANONİM ŞİRKETİ;İstanbul;İş Analisti;Uzaktan / Remote;2021
Linktera Bilgi Teknolojileri;İstanbul;Senior Business Analyst;İş Yerinde;2021
Banksoft Bilişim Bilgisayar Hizmetleri A.Ş.;İstanbul;İş Analisti;Hibrit;2021
M.N.B.OTO KİRALAMA VE NAKLİYAT TİCARET ANONİM ŞİRKETİ;İstanbul;İş Analisti;Hibrit;2023
Gizli Firma;İstanbul;İş Analisti;İş Yerinde;2023
Sompo Sigorta A.Ş.;İstanbul;İş Analisti;İş Yerinde;2024
Moda Selvim;Kocaeli;İş Analisti;Uzaktan / Remote;2021
Anadolu Sağlık Merkezi;Kocaeli;İş Analisti;İş Yerinde;2021
Linde Opsan Otomotiv Parça San. Ve Tic A.Ş;Konya;İş Analisti;İş Yerinde;2021
Alarko Şirketler Topluluğu;Denizli;İş Zekası ve Raporlama Uzmanı;Uzaktan / Remote;2024
ADM Elektrik Dağıtım Aş.;İstanbul;İş Analisti;Uzaktan / Remote;2023
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İstanbul;İş Analisti;Hibrit;2023
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İstanbul;İş Analisti;İş Yerinde;2021
TEV - Türk Eğitim Vakfı;İstanbul;International Operations Business Analyst;Hibrit;2021
İpekyol Giyim San. ve Tic. A.Ş.;İstanbul;İş Analisti;İş Yerinde;2024
Teksan Jeneratör;Diyarbakır;İş Analisti;İş Yerinde;2021
